cidade,ano,gasolina,diesel,etanol
AMERICANA,2015,60512400.0,69038912.0,83800000.0
AMERICANA,2016,66521022.0,68943735.0,75242800.0
AMERICANA,2017,76911731.0,72859597.0,66771836.0
AMERICANA,2018,54104808.0,85675593.0,80498487.0
AMERICANA,2019,49384500.0,93079700.0,89251290.0
AMERICANA,2020,47425340.0,97876500.0,79735018.0
AMERICANA,2021,56815321.0,99239000.0,65582560.0
AMERICANA,2022,61697408.0,98361413.0,60406617.0
ARACATUBA,2015,40275984.0,53765560.0,72177295.0
ARACATUBA,2016,43299000.0,54020250.0,57261000.0
ARACATUBA,2017,42537136.0,54167129.0,61739383.0
ARACATUBA,2018,35145362.0,61762846.0,77533174.0
ARACATUBA,2019,32503463.0,83787312.0,80832217.0
ARACATUBA,2020,29522000.0,95052478.0,75271327.0
ARACATUBA,2021,37934650.0,94994402.0,67470750.0
ARACATUBA,2022,42525000.0,105985466.0,75814134.0
ARARAQUARA,2015,55385000.0,114503050.0,81499850.0
ARARAQUARA,2016,57486447.0,64912096.0,75692614.0
ARARAQUARA,2017,56899950.0,64496040.0,75588947.0
ARARAQUARA,2018,46254620.0,60047959.0,93309231.0
ARARAQUARA,2019,43284500.0,63012700.0,95291774.0
ARARAQUARA,2020,40402500.0,62101600.0,78368200.0
ARARAQUARA,2021,51058665.0,120824155.0,62243358.0
ARARAQUARA,2022,60843500.0,71068660.0,64497800.0
BAURU,2015,80281692.0,104476530.0,145760820.0
BAURU,2016,83568739.0,100468386.0,135104189.0
BAURU,2017,85975859.0,95328375.0,131497390.0
BAURU,2018,70540781.0,93165062.0,151289755.0
BAURU,2019,65027050.0,97744050.0,168603686.0
BAURU,2020,57818232.0,85834800.0,147418245.0
BAURU,2021,76547946.0,92324840.0,127053658.0
BAURU,2022,83565285.0,98294665.0,126994577.0
CAMPINAS,2015,316835772.0,226574274.0,325415500.0
CAMPINAS,2016,346734203.0,205751733.0,261100713.0
CAMPINAS,2017,367008466.0,192035441.0,220630757.0
CAMPINAS,2018,281541548.0,199125404.0,325611789.0
CAMPINAS,2019,256352531.0,204725052.0,378201761.0
CAMPINAS,2020,208125077.0,176948676.0,305686476.0
CAMPINAS,2021,272105427.0,199483302.0,252168507.0
CAMPINAS,2022,320786701.0,211770479.0,236124793.0
CARAPICUIBA,2015,55206250.0,107400350.0,41949100.0
CARAPICUIBA,2016,52473412.0,103847550.0,30865410.0
CARAPICUIBA,2017,53972261.0,104229716.0,29778274.0
CARAPICUIBA,2018,43417476.0,101276981.0,41763705.0
CARAPICUIBA,2019,42240450.0,103051100.0,53076950.0
CARAPICUIBA,2020,40676700.0,93484850.0,49022495.0
CARAPICUIBA,2021,48283400.0,83317371.0,41762040.0
CARAPICUIBA,2022,54873700.0,75622150.0,38938750.0
CATANDUVA,2015,20327320.0,74820700.0,41292070.0
CATANDUVA,2016,21588000.0,74585932.0,39788466.0
CATANDUVA,2017,21377158.0,69915685.0,44896787.0
CATANDUVA,2018,17213750.0,62751029.0,45143920.0
CATANDUVA,2019,16180000.0,75271300.0,47606000.0
CATANDUVA,2020,15371500.0,73719082.0,49530971.0
CATANDUVA,2021,21600700.0,59939253.0,40048899.0
CATANDUVA,2022,21074140.0,61521314.0,41189077.0
CORDEIROPOLIS,2015,6748946.0,39795000.0,7474000.0
CORDEIROPOLIS,2016,7082000.0,40796000.0,5748000.0
CORDEIROPOLIS,2017,7128653.0,38882987.0,5058174.0
CORDEIROPOLIS,2018,5584850.0,43845322.0,6390480.0
CORDEIROPOLIS,2019,5236000.0,47530400.0,6340186.0
CORDEIROPOLIS,2020,4766000.0,52034455.0,5116556.0
CORDEIROPOLIS,2021,5830000.0,54929000.0,4743773.0
CORDEIROPOLIS,2022,6916000.0,47074834.0,4773000.0
CUBATAO,2015,16530000.0,131610038.0,6960000.0
CUBATAO,2016,14975500.0,111438136.0,4992500.0
CUBATAO,2017,12889979.0,103688945.0,3968867.0
CUBATAO,2018,9674897.0,111956748.0,5534610.0
CUBATAO,2019,9294197.0,108490000.0,6660000.0
CUBATAO,2020,8949000.0,101975482.0,6100000.0
CUBATAO,2021,9557000.0,112773500.0,5329700.0
CUBATAO,2022,12285000.0,128381800.0,4517500.0
DIADEMA,2015,89803739.0,34589085.0,65731607.0
DIADEMA,2016,94582500.0,32612000.0,57437718.0
DIADEMA,2017,95582984.0,34214137.0,51302861.0
DIADEMA,2018,76091799.0,33756797.0,68975503.0
DIADEMA,2019,68456849.0,34816000.0,81602259.0
DIADEMA,2020,64689290.0,32341000.0,84938902.0
DIADEMA,2021,71631000.0,35864275.0,58865502.0
DIADEMA,2022,77046609.0,35064700.0,49132678.0
FRANCA,2015,69073441.0,46279897.0,102410480.0
FRANCA,2016,70523000.0,48475784.0,103835223.0
FRANCA,2017,77178089.0,51443943.0,93939397.0
FRANCA,2018,62946372.0,53985156.0,116268578.0
FRANCA,2019,57866750.0,54920750.0,127690750.0
FRANCA,2020,53407127.0,56164750.0,111521500.0
FRANCA,2021,71085134.0,59769750.0,91570032.0
FRANCA,2022,78538163.0,59483038.0,102865980.0
GUARATINGUETA,2015,32600500.0,61621300.0,19865000.0
GUARATINGUETA,2016,34498000.0,60126000.0,15150000.0
GUARATINGUETA,2017,41918258.0,63829704.0,13008880.0
GUARATINGUETA,2018,35125774.0,65063688.0,19856746.0
GUARATINGUETA,2019,35757800.0,69490447.0,25451791.0
GUARATINGUETA,2020,31427106.0,62714900.0,20232800.0
GUARATINGUETA,2021,36536700.0,63242300.0,15309917.0
GUARATINGUETA,2022,39142200.0,60018000.0,14236942.0
GUARUJA,2015,43600500.0,58191619.0,31127807.0
GUARUJA,2016,47858792.0,53403968.0,29170104.0
GUARUJA,2017,43450011.0,48219916.0,23271066.0
GUARUJA,2018,37091653.0,42058218.0,30405589.0
GUARUJA,2019,36791384.0,48398000.0,42770835.0
GUARUJA,2020,36015950.0,44762650.0,51488686.0
GUARUJA,2021,42579663.0,47442900.0,35710685.0
GUARUJA,2022,45244153.0,46236809.0,29060563.0
GUARULHOS,2015,240487598.0,276085963.0,198555447.0
GUARULHOS,2016,251767725.0,267592094.0,208307236.0
GUARULHOS,2017,268102735.0,268999474.0,159102755.0
GUARULHOS,2018,217499248.0,257922900.0,223495636.0
GUARULHOS,2019,202355756.0,260853219.0,270346643.0
GUARULHOS,2020,189036503.0,240978278.0,247935116.0
GUARULHOS,2021,218035778.0,257893363.0,202175311.0
GUARULHOS,2022,244096959.0,281725823.0,188535883.0
JABOTICABAL,2015,12725000.0,24795000.0,28164000.0
JABOTICABAL,2016,12548000.0,28524000.0,29645000.0
JABOTICABAL,2017,13210703.0,35562494.0,27857728.0
JABOTICABAL,2018,11287486.0,39365765.0,30383022.0
JABOTICABAL,2019,10369059.0,35188200.0,29360100.0
JABOTICABAL,2020,10224500.0,37023500.0,24689148.0
JABOTICABAL,2021,12520500.0,36255031.0,21585000.0
JABOTICABAL,2022,11985600.0,39138300.0,21972700.0
JACAREI,2015,50898300.0,78372077.0,36225518.0
JACAREI,2016,54110100.0,70621600.0,28371800.0
JACAREI,2017,57238432.0,64761400.0,26566426.0
JACAREI,2018,47802763.0,60683056.0,36950931.0
JACAREI,2019,46663600.0,56623700.0,46546000.0
JACAREI,2020,42793400.0,58812905.0,36056605.0
JACAREI,2021,51357901.0,62928400.0,30960300.0
JACAREI,2022,58979200.0,75012700.0,28000800.0
JAU,2015,29230000.0,29171300.0,45033220.0
JAU,2016,29751500.0,26740000.0,40566000.0
JAU,2017,29798372.0,23352100.0,41785840.0
JAU,2018,24371717.0,24005190.0,45888585.0
JAU,2019,23428944.0,23556300.0,51047433.0
JAU,2020,21466260.0,22796640.0,43846733.0
JAU,2021,25959236.0,24212344.0,36220306.0
JAU,2022,31023985.0,24244396.0,37967788.0
JUNDIAI,2015,152051855.0,128458338.0,140514176.0
JUNDIAI,2016,165091222.0,123999774.0,119240000.0
JUNDIAI,2017,172783017.0,135427328.0,102579302.0
JUNDIAI,2018,136311469.0,138957094.0,141343247.0
JUNDIAI,2019,128758000.0,147881800.0,166860301.0
JUNDIAI,2020,113252377.0,147997518.0,135214973.0
JUNDIAI,2021,145562000.0,154926997.0,114051878.0
JUNDIAI,2022,168970601.0,151210992.0,103953656.0
LIMEIRA,2015,63631500.0,120960237.0,106700058.0
LIMEIRA,2016,68729520.0,112334800.0,89998396.0
LIMEIRA,2017,75755636.0,116356245.0,78075611.0
LIMEIRA,2018,57291919.0,125540550.0,100866604.0
LIMEIRA,2019,53997500.0,141709400.0,111002854.0
LIMEIRA,2020,48032600.0,139455384.0,98830326.0
LIMEIRA,2021,63761410.0,152242536.0,83722000.0
LIMEIRA,2022,83922446.0,153238614.0,78775913.0
MARILIA,2015,49556410.0,73830850.0,61166100.0
MARILIA,2016,50909500.0,65584844.0,62727550.0
MARILIA,2017,55389046.0,61415386.0,55452739.0
MARILIA,2018,42820743.0,61739100.0,65506809.0
MARILIA,2019,41066000.0,60377850.0,75590299.0
MARILIA,2020,37728500.0,63481700.0,72042268.0
MARILIA,2021,49900500.0,68663800.0,60401566.0
MARILIA,2022,57877500.0,68372800.0,60659402.0
MAUA,2015,62446000.0,33102216.0,39015790.0
MAUA,2016,66991798.0,34822356.0,36770000.0
MAUA,2017,69609566.0,34844116.0,34419855.0
MAUA,2018,60242986.0,35064850.0,48270436.0
MAUA,2019,59025943.0,36577969.0,63938056.0
MAUA,2020,53628450.0,33913223.0,55692565.0
MAUA,2021,68302801.0,38981190.0,45905482.0
MAUA,2022,74001736.0,37137000.0,43629221.0
MOGI DAS CRUZES,2015,90315072.0,63371275.0,86287576.0
MOGI DAS CRUZES,2016,102803000.0,63270764.0,75024446.0
MOGI DAS CRUZES,2017,102804503.0,58725301.0,76419267.0
MOGI DAS CRUZES,2018,85347188.0,61680301.0,96443088.0
MOGI DAS CRUZES,2019,79071188.0,63709600.0,114371585.0
MOGI DAS CRUZES,2020,72946153.0,56111900.0,89465481.0
MOGI DAS CRUZES,2021,92875425.0,57188900.0,76885618.0
MOGI DAS CRUZES,2022,111597700.0,55349500.0,66215700.0
OSASCO,2015,146587478.0,138451700.0,122457421.0
OSASCO,2016,152716983.0,124486751.0,102099438.0
OSASCO,2017,155374170.0,108508061.0,87439394.0
OSASCO,2018,121768189.0,101328776.0,126358166.0
OSASCO,2019,119421950.0,99992850.0,158977236.0
OSASCO,2020,103421967.0,85679939.0,139463969.0
OSASCO,2021,125027652.0,94541160.0,118319373.0
OSASCO,2022,146492322.0,105413866.0,108745909.0
