cidade,ano,0a1,1a2,2a3,3a4,4a5,5a6,6a7,7a8,8a9,9a10,acima10
AMERICANA,2015,4304.0,7780.0,9611.0,8857.0,9712.0,9673.0,8366.0,9885.0,9279.0,7195.0,80666.0
AMERICANA,2016,3328.0,5680.0,7974.0,9699.0,8874.0,9737.0,9548.0,8403.0,9852.0,9244.0,86724.0
AMERICANA,2017,4075.0,4377.0,5959.0,8101.0,9672.0,8862.0,9690.0,9528.0,8305.0,9716.0,94948.0
AMERICANA,2018,5157.0,5203.0,4632.0,6017.0,8057.0,9631.0,8789.0,9661.0,9442.0,8264.0,103249.0
AMERICANA,2019,5229.0,6631.0,5564.0,4704.0,6034.0,8038.0,9444.0,8691.0,9524.0,9232.0,110020.0
AMERICANA,2020,3851.0,6496.0,6883.0,5577.0,4710.0,5929.0,7872.0,9354.0,8628.0,9386.0,117788.0
AMERICANA,2021,4260.0,4696.0,6883.0,6875.0,5572.0,4665.0,5873.0,7738.0,9173.0,8441.0,125570.0
AMERICANA,2022,3884.0,4842.0,4916.0,7127.0,6944.0,5467.0,4645.0,5874.0,7674.0,9137.0,132850.0
ARACATUBA,2015,4829.0,7090.0,8475.0,8805.0,9407.0,8368.0,7542.0,9502.0,8448.0,6539.0,79465.0
ARACATUBA,2016,4136.0,5901.0,7224.0,8575.0,8787.0,9276.0,8280.0,7531.0,9367.0,8375.0,85525.0
ARACATUBA,2017,4431.0,5019.0,5969.0,7305.0,8488.0,8717.0,9028.0,8132.0,7341.0,9254.0,93011.0
ARACATUBA,2018,4728.0,5353.0,5079.0,5929.0,7268.0,8387.0,8564.0,8900.0,8002.0,7279.0,101255.0
ARACATUBA,2019,4508.0,5853.0,5481.0,4994.0,5834.0,7159.0,8219.0,8420.0,8761.0,7919.0,107414.0
ARACATUBA,2020,3506.0,5550.0,5888.0,5370.0,4843.0,5610.0,6980.0,8049.0,8209.0,8571.0,114000.0
ARACATUBA,2021,4299.0,4274.0,5655.0,5877.0,5376.0,4771.0,5511.0,6875.0,7972.0,8088.0,121594.0
ARACATUBA,2022,3997.0,4593.0,4316.0,5743.0,5783.0,5265.0,4718.0,5450.0,6794.0,7866.0,128353.0
ARARAQUARA,2015,4511.0,7332.0,9422.0,9485.0,9412.0,8807.0,7077.0,9006.0,7768.0,6231.0,88240.0
ARARAQUARA,2016,3860.0,5918.0,7589.0,8919.0,8629.0,9287.0,8642.0,6980.0,8970.0,7746.0,94037.0
ARARAQUARA,2017,4101.0,4904.0,5995.0,7420.0,8605.0,8502.0,9160.0,8640.0,6903.0,8897.0,101159.0
ARARAQUARA,2018,4591.0,5350.0,5050.0,5817.0,7340.0,8545.0,8394.0,9115.0,8600.0,6818.0,109580.0
ARARAQUARA,2019,4935.0,6003.0,5802.0,5017.0,5651.0,7217.0,8468.0,8337.0,9091.0,8543.0,115651.0
ARARAQUARA,2020,3132.0,6236.0,6409.0,5738.0,4828.0,5551.0,7114.0,8356.0,8367.0,9054.0,123191.0
ARARAQUARA,2021,4017.0,3833.0,6570.0,6448.0,5517.0,4682.0,5511.0,7025.0,8224.0,8342.0,131200.0
ARARAQUARA,2022,3874.0,4591.0,4063.0,6737.0,6432.0,5504.0,4651.0,5459.0,7004.0,8221.0,138799.0
BAURU,2015,7550.0,14338.0,17329.0,15874.0,16533.0,13972.0,12935.0,14553.0,13119.0,10087.0,124687.0
BAURU,2016,6191.0,9468.0,14517.0,17118.0,15654.0,16202.0,13595.0,12598.0,14214.0,12853.0,133292.0
BAURU,2017,6788.0,7949.0,9765.0,14408.0,16910.0,15342.0,15945.0,13439.0,12287.0,13991.0,145171.0
